cycle,avg_attention,avg_performance,is_break,high_attention_count
265,0.45519999999999977,0.9508,false,0
266,0.40639999999999965,0.9508,false,0
267,0.3563999999999997,0.9508,false,0
268,0.3063999999999997,0.9508,false,0
269,0.2563999999999998,0.9508,false,0
270,0.20879999999999974,0.9508,true,0
271,0.25319999999999976,0.9508,true,0
272,0.29759999999999964,0.9508,true,0
273,0.34279999999999977,0.9508,true,0
274,0.38719999999999966,0.9508,true,0
275,0.4323999999999998,0.9508,true,0
276,0.47999999999999976,0.9508,true,5
277,0.5291999999999998,0.9508,true,5
278,0.5776,0.9508,true,7
279,0.6267999999999997,0.9508,true,7
280,0.6743999999999999,0.9508,true,14
281,0.7147999999999999,0.9508,true,14
282,0.7539999999999998,0.9508,true,14
283,0.7939999999999999,0.9508,true,16
284,0.8347999999999999,0.9508,true,20
285,0.8739999999999999,0.9508,false,22
286,0.8319999999999999,0.9508,false,20
287,0.79,0.9508,false,18
288,0.7487999999999999,0.9508,false,15
289,0.706,0.9508,false,15
290,0.6639999999999999,0.9508,false,15
291,0.6155999999999996,0.9508,false,9
292,0.5679999999999997,0.9508,false,9
293,0.5179999999999997,0.9508,false,7
294,0.4719999999999997,0.9508,false,5
295,0.42679999999999985,0.9508,false,0
296,0.37919999999999965,0.9508,false,0
297,0.3307999999999997,0.9508,false,0
298,0.2827999999999998,0.9508,false,0
299,0.23919999999999977,0.9508,false,0
300,0.19879999999999975,0.9508,true,0
301,0.24399999999999977,0.9508,true,0
302,0.28919999999999974,0.9508,true,0
303,0.33439999999999975,0.9508,true,0
304,0.3795999999999997,0.9508,true,0
305,0.4247999999999999,0.9508,true,0
306,0.4707999999999998,0.9508,true,5
307,0.5199999999999999,0.9508,true,5
308,0.5684,0.9508,true,9
309,0.6191999999999998,0.9508,true,9
310,0.6656,0.9508,true,13
311,0.7088000000000001,0.9508,true,13
312,0.7479999999999998,0.9508,true,15
313,0.7807999999999999,0.9508,true,15
314,0.8136,0.9508,true,19
315,0.8463999999999998,0.9508,false,20
316,0.8019999999999999,0.9508,false,20
317,0.7552000000000001,0.9508,false,16
318,0.7084,0.9508,false,16
319,0.6592,0.9508,false,13
320,0.6115999999999999,0.9508,false,13
321,0.5639999999999997,0.9508,false,7
322,0.5147999999999997,0.9508,false,7
323,0.47359999999999985,0.9508,false,4
324,0.43479999999999974,0.9508,false,4
325,0.39359999999999984,0.9508,false,0
326,0.3499999999999998,0.9508,false,0
327,0.30639999999999973,0.9508,false,0
328,0.2627999999999997,0.9508,false,0
329,0.2215999999999998,0.9508,false,0
330,0.18119999999999975,0.9508,true,0
331,0.2255999999999998,0.9508,true,0
332,0.2731999999999998,0.9508,true,0
333,0.31999999999999973,0.9508,true,0
334,0.3675999999999997,0.9508,true,0
335,0.4151999999999998,0.9508,true,0
336,0.4635999999999998,0.9508,true,4
337,0.5143999999999999,0.9508,true,4
338,0.5644,0.9508,true,5
339,0.6135999999999998,0.9508,true,6
340,0.6603999999999999,0.9508,true,13
341,0.7008000000000001,0.9508,true,13
342,0.7395999999999999,0.9508,true,15
343,0.7816,0.9508,true,15
344,0.8231999999999998,0.9508,true,20
345,0.86,0.9508,false,21
346,0.8139999999999997,0.9508,false,20
347,0.7687999999999998,0.9508,false,15
348,0.7219999999999999,0.9508,false,15
349,0.6751999999999998,0.9508,false,13
350,0.6267999999999999,0.9508,false,13
351,0.5799999999999997,0.9508,false,8
352,0.5331999999999999,0.9508,false,8
353,0.4863999999999998,0.9508,false,7
354,0.4419999999999997,0.9508,false,5
355,0.40239999999999987,0.9508,false,0
356,0.3603999999999997,0.9508,false,0
357,0.3175999999999997,0.9508,false,0
358,0.2755999999999998,0.9508,false,0
359,0.2335999999999998,0.9508,false,0
360,0.1923999999999998,0.9508,true,0
361,0.23999999999999982,0.9508,true,0
362,0.2883999999999997,0.9508,true,0
363,0.3359999999999998,0.9508,true,0
364,0.3835999999999997,0.9508,true,0
365,0.4319999999999999,0.9508,true,0
366,0.48119999999999974,0.9508,true,5
367,0.5303999999999999,0.9508,true,7
368,0.5788,0.9508,true,8
369,0.6319999999999999,0.9508,true,9
370,0.6827999999999999,0.9508,true,13
371,0.7280000000000001,0.9508,true,13
372,0.7676,0.9508,true,14
373,0.8039999999999998,0.9508,true,15
374,0.8367999999999999,0.9508,true,21
375,0.8704000000000001,0.9508,false,23
376,0.8251999999999998,0.9508,false,22
377,0.7791999999999999,0.9508,false,16
378,0.7315999999999998,0.9508,false,15
379,0.684,0.9508,false,14
380,0.6364,0.9508,false,13
381,0.5903999999999997,0.9508,false,5
382,0.5436,0.9508,false,3
383,0.4943999999999998,0.9508,false,3
384,0.4443999999999997,0.9508,false,3
385,0.39519999999999983,0.9508,false,0
386,0.3475999999999997,0.9508,false,0
387,0.2983999999999998,0.9508,false,0
388,0.24999999999999975,0.9508,false,0
389,0.2063999999999998,0.9508,false,0
390,0.16279999999999972,0.9508,true,0
391,0.20879999999999976,0.9508,true,0
392,0.2555999999999997,0.9508,true,0
393,0.3015999999999998,0.9508,true,0
394,0.34759999999999974,0.9508,true,0
395,0.39599999999999985,0.9508,true,0
396,0.44439999999999985,0.9508,true,2
397,0.4959999999999998,0.9508,true,2
398,0.5467999999999998,0.9508,true,3
399,0.5983999999999997,0.9508,true,5
400,0.6499999999999999,0.9508,true,12
401,0.6975999999999999,0.9508,true,12
402,0.7447999999999999,0.9508,true,13
403,0.7895999999999997,0.9508,true,15
404,0.8343999999999998,0.9512,true,20
405,0.8768000000000002,0.9516,false,25
406,0.8299999999999998,0.9519999999999998,false,20
407,0.7831999999999999,0.9523999999999999,false,15
408,0.7363999999999998,0.9523999999999999,false,14
409,0.6896000000000001,0.9523999999999999,false,13
410,0.6428,0.9523999999999999,false,13
411,0.5959999999999998,0.9523999999999999,false,4
412,0.5491999999999999,0.9523999999999999,false,3
413,0.5023999999999998,0.9523999999999999,false,3
414,0.4539999999999998,0.9523999999999999,false,3
415,0.40559999999999996,0.9523999999999999,false,0
416,0.35559999999999975,0.9523999999999999,false,0
417,0.3023999999999998,0.9523999999999999,false,0
418,0.24679999999999983,0.9523999999999999,false,0
419,0.19439999999999982,0.9523999999999999,false,0
420,0.15039999999999976,0.9523999999999999,true,0
421,0.1939999999999998,0.9523999999999999,true,0
422,0.23999999999999974,0.9523999999999999,true,0
423,0.28679999999999983,0.9523999999999999,true,0
424,0.3327999999999998,0.9523999999999999,true,0
425,0.3779999999999999,0.9523999999999999,true,0
426,0.4239999999999998,0.9523999999999999,true,1
427,0.4723999999999998,0.9523999999999999,true,3
428,0.5231999999999999,0.9523999999999999,true,4
429,0.5739999999999997,0.9523999999999999,true,4
430,0.6259999999999999,0.9528,true,10
431,0.674,0.9531999999999999,true,10
432,0.7179999999999999,0.9536,true,11
433,0.7607999999999998,0.9540000000000001,true,14
434,0.8051999999999999,0.9544,true,22
435,0.8464,0.9547999999999999,false,22
436,0.8011999999999998,0.9551999999999999,false,22
437,0.7551999999999999,0.9556,false,14
438,0.7083999999999999,0.956,false,13
439,0.6616,0.9564,false,12
440,0.6147999999999999,0.9567999999999999,false,12
441,0.5671999999999996,0.9567999999999999,false,4
442,0.5187999999999998,0.9567999999999999,false,4
443,0.4743999999999998,0.9567999999999999,false,4
444,0.4315999999999998,0.9567999999999999,false,4
445,0.3879999999999999,0.9567999999999999,false,0
446,0.3419999999999997,0.9567999999999999,false,0
447,0.2951999999999998,0.9567999999999999,false,0
448,0.24759999999999974,0.9567999999999999,false,0
449,0.20039999999999977,0.9567999999999999,false,0
450,0.15479999999999974,0.9567999999999999,true,0
451,0.19919999999999977,0.9567999999999999,true,0
452,0.24279999999999974,0.9567999999999999,true,0
453,0.2879999999999998,0.9567999999999999,true,0
454,0.3331999999999998,0.9567999999999999,true,0
455,0.37919999999999987,0.9567999999999999,true,0
456,0.42839999999999984,0.9567999999999999,true,4
457,0.4799999999999997,0.9567999999999999,true,4
458,0.5323999999999999,0.9571999999999999,true,4
459,0.5847999999999997,0.9575999999999999,true,4
460,0.6315999999999999,0.958,true,8
461,0.6744,0.9584,true,10
462,0.7171999999999998,0.9588,true,11
463,0.7599999999999999,0.9592,true,12
464,0.8035999999999998,0.9595999999999999,true,21
465,0.8488000000000001,0.96,false,23
466,0.8051999999999998,0.9603999999999999,false,21
467,0.7615999999999997,0.9608,false,14
468,0.7172,0.9612,false,11
469,0.6719999999999999,0.9616,false,10
470,0.626,0.9620000000000001,false,10
471,0.5807999999999996,0.9620000000000001,false,6
472,0.5339999999999998,0.9620000000000001,false,6
473,0.4863999999999997,0.9620000000000001,false,6
474,0.43879999999999986,0.9620000000000001,false,4
475,0.38799999999999985,0.9620000000000001,false,0
476,0.3363999999999998,0.9620000000000001,false,0
477,0.28479999999999983,0.9620000000000001,false,0
478,0.23479999999999973,0.9620000000000001,false,0
479,0.18999999999999978,0.9620000000000001,false,0
480,0.1503999999999998,0.9620000000000001,true,0
481,0.1979999999999998,0.9620000000000001,true,0
482,0.24559999999999974,0.9620000000000001,true,0
483,0.29319999999999985,0.9620000000000001,true,0
484,0.3407999999999998,0.9620000000000001,true,0
485,0.3883999999999999,0.9620000000000001,true,0
486,0.4383999999999999,0.9620000000000001,true,4
487,0.48919999999999986,0.9620000000000001,true,6
488,0.54,0.9623999999999999,true,6
489,0.5907999999999997,0.9628,true,6
490,0.6352,0.9632,true,10
491,0.6748000000000002,0.9636,true,10
492,0.7143999999999998,0.9640000000000001,true,11
493,0.7515999999999999,0.9643999999999999,true,12
494,0.7887999999999998,0.9647999999999999,true,22
495,0.8268000000000001,0.9652,false,22
496,0.7799999999999997,0.9656,false,22
497,0.7323999999999999,0.966,false,12
498,0.6855999999999998,0.9664,false,11
499,0.6364000000000001,0.9668000000000001,false,10
500,0.5887999999999999,0.9672,false,10
501,0.5411999999999996,0.9672,false,6
502,0.49359999999999987,0.9672,false,5
503,0.4495999999999998,0.9672,false,4
504,0.4087999999999999,0.9672,false,4
505,0.36719999999999986,0.9672,false,0
506,0.32319999999999977,0.9672,false,0
507,0.2791999999999999,0.9672,false,0
508,0.23359999999999978,0.9672,false,0
509,0.1863999999999998,0.9672,false,0
510,0.1383999999999998,0.9672,true,0
511,0.18279999999999977,0.9672,true,0
512,0.2271999999999997,0.9672,true,0
513,0.2715999999999999,0.9672,true,0
514,0.3151999999999998,0.9672,true,0
515,0.3571999999999999,0.9672,true,0
516,0.4023999999999998,0.9672,true,3
517,0.4491999999999998,0.9672,true,3
518,0.4968,0.9672,true,3
519,0.5435999999999998,0.9672,true,3
520,0.5876,0.9672,true,7
521,0.6283999999999998,0.9672,true,8
522,0.6707999999999997,0.9675999999999999,true,11
523,0.7156,0.968,true,12
524,0.7611999999999999,0.968,true,19
525,0.8076000000000001,0.968,false,19
526,0.7631999999999999,0.968,false,19
527,0.7179999999999999,0.968,false,13
528,0.6711999999999999,0.968,false,11
529,0.6244000000000001,0.968,false,9
530,0.5743999999999999,0.968,false,9
531,0.5243999999999996,0.968,false,6
532,0.4744,0.968,false,6
533,0.42759999999999976,0.968,false,5
